id,category,subject,link_url
O1,Basic Information,Organizational Structure,/assets/docs/ita/โครงสร้างและอำนาจหน้าที่หรือภารกิจ.pdf
O2,Basic Information,Executive Information,/about/executives/
O3,Basic Information,Contact Information,/contact/
O4,Basic Information,Public Relations,https://www.facebook.com/CrsMahidol
O5,Administration and Budget Utilization,Strategic Plan or Development Plan,/assets/docs/ita/o5_1_(23).pdf
O6,Administration and Budget Utilization,Annual Operational Plan and Budget Utilization Progress Report (FY 2025),/assets/docs/ita/o06_1_(123).pdf
O7,Administration and Budget Utilization,Annual Performance Report (FY 2024),/assets/docs/ita/ผลการดำเนินงานตามแผนดำเนินงานประจำปี67.pdf
O8,Administration and Budget Utilization,Operational Manual or Guidelines for Staff,/assets/docs/ita/workflow_การเบิกจ่ายเงินสดย่อย.pdf
O9,Administration and Budget Utilization,Service Manual or Guidelines for Service Recipients and Visitors,"https://www.li.mahidol.ac.th/borrowing/
https://op.mahidol.ac.th/sa/wp-content/uploads/2018/documents/other/dss.pdf
https://www.li.mahidol.ac.th/flip-book/flip-turn.html
https://crs.mahidol.ac.th/crs/?page_id=13306
http://www.student.mahidol.ac.th/portal/
https://op.mahidol.ac.th/sa/disciplinerule/
https://op.mahidol.ac.th/sa/studentdisciplineform/
https://op.mahidol.ac.th/sa/studentloan-form/
https://op.mahidol.ac.th/sa/scholarsupport/
https://op.mahidol.ac.th/sa/studentsoldier/
https://op.mahidol.ac.th/sa/wp-content/uploads/2018/documents/other/20190611_health.pdf
/assets/docs/ita/คู่มือหอพัก(1).pdf"
O10,Administration and Budget Utilization,E-Service,"/internal/students/
/assets/docs/ita/o10.pdf"
O11,Administration and Budget Utilization,Service Statistics,/assets/docs/ita/o11_1.pdf
O12,Procurement,Procurement List and Procurement Progress,/assets/docs/ita/ITA-o12.xlsx
O13,Procurement,Annual Procurement Report (FY 2024),/assets/docs/ita/ITA-o13.xlsx
O14,Human Resource Management and Development,Human Resource Management and Development Plan,/assets/docs/ita/o14.pdf
O15,Human Resource Management and Development,Annual Human Resource Management and Development Report (FY 2024),/assets/docs/ita/o5_1_(1).pdf
O16,Human Resource Management and Development,Code of Ethics and Ethical Development,/assets/docs/ita/Do's& Don'ts.pdf
O17,Transparency Promotion,Guidelines for Handling Complaints on Corruption and Misconduct,/assets/docs/ita/แนวทางการดำเนินงานต่อเรื่องร้องเรียน.pdf
O18,Transparency Promotion,Complaint Submission Channels for Corruption and Misconduct,
O19,Transparency Promotion,Statistics on Corruption and Misconduct Complaints,/assets/docs/ita/ข้อมูลเชิงสถิติเรื่องร้องเรียนการทุจริต.pdf
O20,Transparency Promotion,Public Participation,/assets/docs/ita/กิจกรรมการมีส่วนร่วม.pdf
O21,Anti-Corruption,Policy Declaration and Organizational Culture under the No Gift Policy,/assets/docs/ita/NoGiftPolicy.pdf
O22,Anti-Corruption,Report on Receipt of Assets or Other Benefits by Ethical Standards,/assets/docs/ita/รายงานการรับทรัพย์สินหรือประโยชน์อื่นใด.pdf
O23,Anti-Corruption,Risk Assessment on Bribery in Organizational Operations (FY 2025),/assets/docs/ita/การประเมินความเสี่ยงการทุจริตในประเด็นที่เกี่ยวข้องกับสินบน.pdf
O24,Anti-Corruption,Annual Report on Corruption Risk Management,/assets/docs/ita/o24.pdf
O25,Anti-Corruption,Anti-Corruption Action Plan,/assets/docs/ita/แผนปฏิบัติการป้องกันการทุจริต68.pdf
O26,Anti-Corruption,Annual Anti-Corruption Performance Report,/assets/docs/ita/รายงานผลการดำเนินงาน2567.pdf
O27,Anti-Corruption,Measures to Promote Integrity and Transparency within the Organization,/assets/docs/ita/รายงานการวิเคราะห์ผลการประเมินคุณธรรมและความโปร่งใส2025.pdf
O28,Anti-Corruption,Report on the Implementation of Integrity and Transparency Promotion Measures,/assets/docs/ita/o5_1_(23).pdf
